"id","code","name"
"01064900","0106.49.00","0106.49.00 Animais vivos. Outros animais vivos. - Insetos: -- Outros"
"01069000","0106.90.00","0106.90.00 Animais vivos. Outros animais vivos. - Outros"
"02011000","0201.10.00","0201.10.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, frescas ou refrigeradas. - Carcaças e meias-carcaças"
"02012010","0201.20.10","0201.20.10 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, frescas ou refrigeradas. - Outras peças não desossadas Quartos dianteiros"
"02012020","0201.20.20","0201.20.20 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, frescas ou refrigeradas. - Outras peças não desossadas Quartos traseiros"
"02012090","0201.20.90","0201.20.90 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, frescas ou refrigeradas. - Outras peças não desossadas Outras"
"02013000","0201.30.00","0201.30.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, frescas ou refrigeradas. - Desossadas"
"02021000","0202.10.00","0202.10.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, congeladas. - Carcaças e meias-carcaças"
"02022010","0202.20.10","0202.20.10 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, congeladas. - Outras peças não desossadas Quartos dianteiros"
"02022020","0202.20.20","0202.20.20 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, congeladas. - Outras peças não desossadas Quartos traseiros"
"02022090","0202.20.90","0202.20.90 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, congeladas. - Outras peças não desossadas Outras"
"02023000","0202.30.00","0202.30.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie bovina, congeladas. - Desossadas"
"02031100","0203.11.00","0203.11.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Frescas ou refrigeradas: -- Carcaças e meias-carcaças"
"02031200","0203.12.00","0203.12.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Frescas ou refrigeradas: -- Pernas, pás e respectivos pedaços, não desossados"
"02031900","0203.19.00","0203.19.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Frescas ou refrigeradas: -- Outras"
"02032100","0203.21.00","0203.21.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Congeladas: -- Carcaças e meias-carcaças"
"02032200","0203.22.00","0203.22.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Congeladas: -- Pernas, pás e respectivos pedaços, não desossados"
"02032900","0203.29.00","0203.29.00 Carnes e miudezas, comestíveis. Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Congeladas: -- Outras"
"02041000","0204.10.00","0204.10.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
"02042100","0204.21.00","0204.21.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, frescas ou refrigeradas: -- Carcaças e meias-carcaças"
